component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Ensuite_Shower_Glass,0.012,0.48,2.02,10.19,6.06,1.01
Ensuite_Shower_Head,0.23,0.23,0.025,10.61,6.13,2.09
Ensuite_Shower_Head_Detail_Spray_Nozzle_00,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_01,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_02,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_03,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_04,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_05,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_06,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_07,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_08,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_09,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_10,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_11,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_12,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_13,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_14,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Head_Detail_Spray_Nozzle_15,0.0058,0.0058,0.005,0.0,-0.0,0.0
Ensuite_Shower_Stem,0.025,0.025,1.22,10.61,6.29,1.46
Ensuite_Shower_Stem_Detail_Connected_Arm,0.024,0.172,0.032,0.0,-0.0,0.0
Ensuite_Vanity_Carcass,0.42,0.64,0.5,10.73,4.93,0.57
Ensuite_Vanity_Front_01,0.022,0.634,0.492,10.509,4.93,0.57
Ensuite_Vanity_Front_01_Detail_Satin_Pull,0.016,0.014,0.246,0.0,-0.0,0.0
Ensuite_Vanity_Top,0.45,0.66,0.06,10.73,4.93,0.86
Ensuite_WC_Cistern,0.39,0.19,0.74,9.08,6.19,0.56
Ensuite_WC_Cistern_Detail_Dual_Flush,0.0702,0.057,0.0059,0.0,-0.0,0.0
Ensuite_WC_Cistern_Detail_Lid_Joint,0.3887,0.1907,0.003,0.0,-0.0,0.0
Ensuite_WC_Cistern_Detail_Raised_Lid,0.3588,0.0247,0.4588,0.0,-0.0,0.0
Ensuite_WC_Cistern_Detail_Seat_Hinge,0.2028,0.0228,0.0185,0.0,-0.0,0.0
Ensuite_WC_Pan,0.39,0.62,0.3696,9.08,5.93,0.31
Ensuite_WC_Seat,0.38,0.52,0.0525,9.08,5.9,0.45
Entry_Shoe_Storage_Carcass,0.22,0.57,1.02,1.99,6.7,0.59
Entry_Shoe_Storage_Front_01,0.022,0.564,1.012,2.111,6.7,0.59
Entry_Shoe_Storage_Front_01_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Entry_Shoe_Storage_Recessed_Plinth,0.14,0.51,0.08,1.99,6.7,0.04
Kitchen_Back_Base_Carcass,1.36,0.62,0.76,4.94,8.49,0.48
Kitchen_Back_Base_Front_01,0.4473,0.022,0.752,4.4867,8.169,0.48
Kitchen_Back_Base_Front_01_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Kitchen_Back_Base_Front_02,0.4473,0.022,0.752,4.94,8.169,0.48
Kitchen_Back_Base_Front_02_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Kitchen_Back_Base_Front_03,0.4473,0.022,0.752,5.3933,8.169,0.48
Kitchen_Back_Base_Front_03_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Kitchen_Back_Base_Recessed_Plinth,1.28,0.56,0.1,4.94,8.49,0.05
Kitchen_Back_Counter,1.39,0.65,0.04,4.94,8.49,0.89
Kitchen_Backsplash,0.018,2.02,0.72,3.615,7.6,1.26
Kitchen_Fridge,0.64,0.66,1.86,5.3,6.84,0.93
Kitchen_Fridge_Detail_Door_Division,0.5952,0.0053,0.0056,0.0,-0.0,0.0
Kitchen_Fridge_Detail_Lower_Vent,0.48,0.0053,0.0465,0.0,-0.0,0.0
Kitchen_Fridge_Handle,0.027,0.04,0.46,5.12,7.187,1.16
Kitchen_Hob_Ring,0.2,0.2,0.003,3.94,7.09,0.936
Kitchen_Hob_Ring.001,0.2,0.2,0.003,3.94,7.39,0.936
Kitchen_Induction_Hob,0.49,0.59,0.022,3.94,7.24,0.922
Kitchen_Sink_Bowl,0.52,0.35,0.184,4.93,8.45,0.936
Kitchen_Sink_Bowl_Detail_Basket_Drain,0.0676,0.0665,0.0037,0.0,-0.0,0.0
Kitchen_Sink_Bowl_Detail_Drain_Outlet,0.0494,0.049,0.0015,0.0,-0.0,0.0
